user_id;user_name;t_user;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
1304853350152843264;AsvolaIT;Asvola;0;0;Thu Apr 13 08:12:06 +0000 2023;False;[{'text': 'livreurs', 'indices': [114, 123]}];[];"Concilier ubérisation et souveraineté numérique, un défi de taille | Le Berry
https://t.co/kSAXddFVnt
paris,75000,#livreurs-plateformes"
2829160072;espace_de;Freelance, ESPACE DE;1;1;Thu Apr 13 08:09:13 +0000 2023;False;[];[];"Reprenez vos pouvoirs
- Je me sens coupable quand je défends mes propres intérêts. Je préfère me soumettre aux décisions et attentes des autres.- Je suis facilement manipulable dès qu’on me menace. - Je n’ose pas dire non
https://t.co/5a9geFJlYP https://t.co/s2ParlgN4b"
560530401;jolun64;jolun;51;0;Thu Apr 13 07:31:13 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
1015229046354071553;DL4Torg;Deep Law for Tech;4;0;Thu Apr 13 07:28:51 +0000 2023;True;[{'text': 'IADATES', 'indices': [31, 39]}, {'text': 'IA', 'indices': [44, 47]}];"[{'screen_name': 'Maison_IA', 'name': ""Maison de l'Intelligence Artificielle"", 'id': 1319630982291533826, 'id_str': '1319630982291533826', 'indices': [3, 13]}]";"RT @Maison_IA: 📢[SAVE THE DATE #IADATES]

« #IA ET SOUVERAINETÉ NUMÉRIQUE : enjeux et défis du XXIe siècle pour la protection du citoyen »…"
52998824;ElisabethCastex;Elisabeth de Castex;2;0;Thu Apr 13 07:22:49 +0000 2023;True;[];[{'screen_name': 'IMTFrance', 'name': 'Institut Mines-Télécom (IMT)', 'id': 786948902025039872, 'id_str': '786948902025039872', 'indices': [3, 13]}];"RT @IMTFrance: 🏆 Prix IMT-Académie des sciences, l’appel à candidatures ouvert jusqu’au 15 mai

▶️ 2 prix

▶️ 4 domaines
industrie du futur…"
1512683562;FondationMT;Fondation Mines-Télécom;2;0;Thu Apr 13 07:17:47 +0000 2023;True;[];[{'screen_name': 'IMTFrance', 'name': 'Institut Mines-Télécom (IMT)', 'id': 786948902025039872, 'id_str': '786948902025039872', 'indices': [3, 13]}];"RT @IMTFrance: 🏆 Prix IMT-Académie des sciences, l’appel à candidatures ouvert jusqu’au 15 mai

▶️ 2 prix

▶️ 4 domaines
industrie du futur…"
146165056;Al_Bast;Αλ Μπαστ;0;1;Thu Apr 13 07:13:50 +0000 2023;False;[];[{'screen_name': 'sanguinarius_Bt', 'name': 'sanguinarius', 'id': 142370704, 'id_str': '142370704', 'indices': [0, 16]}, {'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [58, 69]}];"@sanguinarius_Bt Justement, ce tweet ne s’adressait pas à @bortzmeyer  (sinon j’aurais fait une réponse).
J’utilise son tweet pour illustrer le fait que la souveraineté numérique n’est pas encore possible"
267672435;madstk;Stéphane Karges;1;1;Thu Apr 13 07:05:12 +0000 2023;False;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [0, 11]}, {'screen_name': 'Al_Bast', 'name': 'Αλ Μπαστ', 'id': 146165056, 'id_str': '146165056', 'indices': [12, 20]}];@bortzmeyer @Al_Bast Le problème n’est pas la souveraineté numérique mais le fait que les boîtes françaises veulent des mecs qui savent tout faire payé au lance-pierres, et ce retrouve avec des gars qui touche un peu à tout pour pas chère et du coup pas les meilleurs. 1/2
263324670;gregober_osnet;DynFi-FR;0;0;Thu Apr 13 07:03:16 +0000 2023;False;[];[];"Un évènement intéressant pour nos followers !
SAVE THE DATE :  3e journée de l'Observatoire « Technologies &amp; Souveraineté numérique » https://t.co/XhUwai1BBM"
146165056;Al_Bast;Αλ Μπαστ;1;2;Thu Apr 13 06:47:05 +0000 2023;False;[];[];Arrêtez de fantasmer avec la souveraineté numérique, ce n’est tout simplement pas possible actuellement (et si pensez le contraire, vous avez 10 ans de retard sur les techno à utiliser) https://t.co/NF6Dqe0OQU
57151285;sylvainbrothier;☰ Sylvain Brothier 🤝 🌱;0;1;Thu Apr 13 05:46:54 +0000 2023;False;[];[];Un pari fou ? Surtout une manière de reconquérir une souveraineté numérique ! https://t.co/FaFDqSwmBs
1075742641361432576;Wolfman99753005;Wolfman;51;0;Thu Apr 13 05:15:06 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
896382048486731777;Agent_Doble;Agent D;51;0;Thu Apr 13 05:09:43 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
251653097;Sebastien_CLH;Sébastien Cohéléach;9;0;Thu Apr 13 04:59:19 +0000 2023;True;[];[{'screen_name': 'IHEDN', 'name': 'IHEDN', 'id': 429743602, 'id_str': '429743602', 'indices': [3, 9]}, {'screen_name': 'IHEDN', 'name': 'IHEDN', 'id': 429743602, 'id_str': '429743602', 'indices': [71, 77]}];RT @IHEDN: La majeure « Souveraineté numérique et cybersécurité » de l’@IHEDN est à l’honneur dans la dernière Revue Défense Nationale @Def…
2194698562;NewDeus;NewDeus;51;0;Thu Apr 13 01:59:20 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
41352604;JN_Gavark;JN_Gavark;51;0;Wed Apr 12 23:02:49 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
282032914;corsaire01;Corsaire  コルセ-ル;51;0;Wed Apr 12 22:39:21 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
