user_id;user_name;rt_user;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
1085112722637893632;RollandDelhorbe;Rolland Delhorbe;9;0;Tue Mar 14 09:15:05 +0000 2023;True;[];[{'screen_name': 'faure_t', 'name': 'Thomas Fauré', 'id': 130274607, 'id_str': '130274607', 'indices': [3, 11]}, {'screen_name': 'whaller_fr', 'name': 'Whaller', 'id': 563769406, 'id_str': '563769406', 'indices': [115, 126]}];RT @faure_t: 💥 Pour plus de facilité dans les échanges numériques à venir, je vous invite tous à vous inscrire sur @whaller_fr où les messa…
92809726;bruno_olivieri;Bruno Olivieri;9;0;Tue Mar 14 09:14:31 +0000 2023;True;[];[{'screen_name': 'faure_t', 'name': 'Thomas Fauré', 'id': 130274607, 'id_str': '130274607', 'indices': [3, 11]}, {'screen_name': 'whaller_fr', 'name': 'Whaller', 'id': 563769406, 'id_str': '563769406', 'indices': [115, 126]}];RT @faure_t: 💥 Pour plus de facilité dans les échanges numériques à venir, je vous invite tous à vous inscrire sur @whaller_fr où les messa…
130274607;faure_t;Thomas Fauré;9;18;Tue Mar 14 09:13:58 +0000 2023;False;[{'text': 'LeBinaireCestPasClair', 'indices': [243, 265]}];[{'screen_name': 'whaller_fr', 'name': 'Whaller', 'id': 563769406, 'id_str': '563769406', 'indices': [102, 113]}];💥 Pour plus de facilité dans les échanges numériques à venir, je vous invite tous à vous inscrire sur @whaller_fr où les messages binaires peuvent désormais être traduits en clair ! 🤣 Et vivent la souveraineté numérique et les mathématiques ! #LeBinaireCestPasClair https://t.co/4pjUnWxbOI https://t.co/8f97SzMUWE
251741605;CFDTfinancespub;CFDT DGFiP;7;8;Tue Mar 14 08:41:19 +0000 2023;False;[];[{'screen_name': 'CFDTDouanes', 'name': 'CFDT DOUANES', 'id': 601653668, 'id_str': '601653668', 'indices': [202, 214]}, {'screen_name': 'cfdtccrfscl', 'name': 'CFDT CCRF et Labos', 'id': 705248677, 'id_str': '705248677', 'indices': [215, 227]}, {'screen_name': 'cfdtfinances', 'name': 'CFDT Finances', 'id': 137006127, 'id_str': '137006127', 'indices': [228, 241]}];"Le 15 mars, au ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique, tous en grève et dans les manifestations contre le projet de réforme des retraites du gouvernement.
@CFDTDouanes @cfdtccrfscl @cfdtfinances https://t.co/6LY9UngDdh"
791779735;legifiscal;LegiFiscal;0;0;Tue Mar 14 08:16:54 +0000 2023;False;[];[];Le ministère de l’Économie, des Finances et de la Souveraineté industrielle et numérique vient de mettre en ligne la liste des conseillers départementaux à la sortie de crise (actualité economie.... https://t.co/zZqevz0iBw
114432098;TSystemsFrance;T-Systems France;0;1;Tue Mar 14 08:00:01 +0000 2023;False;[];[];"Comment rendre le cloud résilient ?

Découvrez 7 mesures clés pour prévenir les attaques et perturbations. Découvrez comment les datacenters d'Open Telekom Cloud sont préparés pour l'imprévisible. 

L'article sur 👉 https://t.co/BEySm7I2ZV https://t.co/i9K6KcS8Jh"
1246544499855278081;iDFRights;institute for Digital Fundamental Rights;2;2;Tue Mar 14 07:47:43 +0000 2023;False;[{'text': 'Europe', 'indices': [11, 18]}];[{'screen_name': 'BTardivat', 'name': 'Benjamin M.-Tardivat', 'id': 1348690646127829003, 'id_str': '1348690646127829003', 'indices': [173, 183]}];"Pourquoi l'#Europe a besoin d'un système de gestion d'identité numérique efficace ? Quels défis ? Quels enjeux ? Une clé pour la souveraineté ? Une nouvelle contribution de @BTardivat à lire sur notre site. 
https://t.co/Gws6X40qL7"
55806225;Jerome_Herbinet;Jérôme Herbinet 🐘⚠️🤖 Crossposted from Mastodon;4;0;Tue Mar 14 07:46:21 +0000 2023;True;[{'text': 'LogicielsLibres', 'indices': [115, 131]}];[{'screen_name': 'Arawa_fr', 'name': 'Arawa - Collaboration Open Source', 'id': 707230147334819840, 'id_str': '707230147334819840', 'indices': [3, 12]}, {'screen_name': 'cnlogicielle', 'name': 'CNLESR', 'id': 3878780963, 'id_str': '3878780963', 'indices': [84, 97]}, {'screen_name': 'RocketChat', 'name': 'Rocket.Chat', 'id': 3296136369, 'id_str': '3296136369', 'indices': [101, 112]}];RT @Arawa_fr: 📢 La société Arawa est fière de vous annoncer son partenariat avec le @cnlogicielle et @RocketChat ! #LogicielsLibres #OpenSo…
1430763526185000962;Mavivance;Elisabeth Martin;16;0;Tue Mar 14 04:43:54 +0000 2023;True;[];[{'screen_name': 'AnneIbiza13', 'name': 'AnneCatala 🧠 🇳🇱 - Souveraine - Vérité vaincra', 'id': 275255591, 'id_str': '275255591', 'indices': [3, 15]}];RT @AnneIbiza13: Ce qu'Urmie Ray dit de Poutine, qu'il serait proche de l'OMS, pro monnaie numérique etc... est troublant et en ferait un p…
4919786115;DBCitoyen78;Didier BLANCHARD;9;0;Tue Mar 14 01:34:43 +0000 2023;True;[];[{'screen_name': 'JeromeColombain', 'name': '@JeromeColombain', 'id': 32370736, 'id_str': '32370736', 'indices': [3, 19]}, {'screen_name': 'jnbarrot', 'name': 'Jean-Noël Barrot', 'id': 865482011523166209, 'id_str': '865482011523166209', 'indices': [45, 54]}];RT @JeromeColombain: 🎧 Interview exclusive ! @jnbarrot, ministre du numérique, livre sa vision sur la souveraineté, la protection des mineu…
